Attendance,StudyHours,AssignmentScore,PreviousGPA,ParticipationLevel,InternetUsage,SleepHours,FamilySupportIndex,ExtraCurricular,FinalExamScore,PassFail,PerformanceCategory
78,3.75,64,6.89,4,3.58,7.56,1,0,60.58,Pass,Medium
87,9.81,90,8.86,1,4.44,6.35,4,1,89.89,Pass,High
85,4.7,72,9.53,2,1.27,8.63,1,0,73.89,Pass,High
96,3.46,89,8.93,3,5.05,7.35,2,0,71.84,Pass,High
85,8.32,60,8.79,1,0.18,5.34,5,0,81.06,Pass,High
82,7.27,97,9.01,1,5.06,6.8,1,0,79.48,Pass,High
68,5.99,81,7.86,2,2.76,8.03,5,0,75.03,Pass,High
71,6.44,85,9.5,4,1.31,8.18,2,0,80.46,Pass,High
60,7.75,82,6.81,1,0.8,6.98,2,0,73.06,Pass,High
60,3.83,73,6.51,1,5.72,8.58,4,1,59.81,Pass,Medium
93,9.97,88,7.14,4,0.44,6.07,5,0,92.21,Pass,High
91,9.8,83,8.13,2,1.19,6.64,3,1,90.34,Pass,High
84,7.2,77,8.04,1,2.09,8.59,4,1,81.74,Pass,High
99,3.6,86,9.28,4,3.72,8.59,5,1,80.09,Pass,High
60,7.44,56,7.62,1,3.27,7.74,1,0,66.38,Pass,Medium
75,2.58,53,7.94,3,0.75,8.44,1,0,59.1,Pass,Medium
98,2.25,86,6.05,5,1.74,5.36,2,0,65.96,Pass,Medium
64,4.06,50,7.64,3,1.43,8.46,3,0,60.85,Pass,Medium
81,5.7,50,8.59,1,1.28,6.28,1,0,66.43,Pass,Medium
88,8.95,96,6.06,2,2.47,5.71,5,0,85.16,Pass,High
62,7.82,69,7.12,5,4.22,5.96,5,0,74.8,Pass,High
71,7.94,68,6.83,3,1.3,6.67,1,0,72.92,Pass,High
85,5.4,78,6.17,4,2.2,6.0,5,0,73.11,Pass,High
75,4.77,59,7.92,2,2.35,6.28,5,0,67.2,Pass,Medium
96,4.97,67,6.73,3,5.86,5.54,2,1,67.25,Pass,Medium
81,9.9,77,8.97,4,5.73,6.18,3,0,86.64,Pass,High
88,2.32,84,9.39,1,4.8,7.29,2,0,64.76,Pass,Medium
73,8.94,92,8.18,4,1.45,6.77,3,0,86.95,Pass,High
87,6.63,96,9.93,3,0.41,6.39,5,1,89.93,Pass,High
64,5.51,80,7.8,3,1.9,7.99,3,0,71.23,Pass,High
89,7.8,76,8.05,1,1.6,8.57,5,0,84.04,Pass,High
64,5.89,60,9.96,4,3.04,8.03,5,1,76.99,Pass,High
71,8.99,98,6.93,4,4.67,6.33,2,0,81.22,Pass,High
75,9.21,98,9.77,1,5.15,7.98,2,1,87.93,Pass,High
85,5.37,87,6.17,4,5.07,5.61,4,1,72.41,Pass,High
85,4.21,54,7.79,1,2.16,5.52,1,1,62.01,Pass,Medium
80,6.74,57,6.28,2,4.12,6.38,4,1,68.53,Pass,Medium
98,9.3,83,8.92,3,1.88,8.23,4,0,93.26,Pass,High
95,3.69,97,8.43,2,0.37,5.99,3,1,76.35,Pass,High
92,6.98,61,8.83,5,4.21,5.25,5,1,81.69,Pass,High
89,7.05,87,7.5,5,0.06,5.53,5,0,85.44,Pass,High
96,7.86,50,7.48,5,2.46,8.43,5,0,82.0,Pass,High
82,3.05,80,6.18,1,1.98,7.54,1,0,59.56,Pass,Medium
69,7.73,53,7.4,4,4.16,6.01,3,1,72.05,Pass,High
64,9.27,98,9.72,2,4.6,7.22,3,0,86.34,Pass,High
95,3.44,94,7.52,2,1.82,7.11,5,1,76.43,Pass,High
93,3.9,99,9.33,2,4.87,7.62,4,1,78.81,Pass,High
90,9.77,54,9.37,2,1.76,5.93,1,0,82.63,Pass,High
69,3.45,79,7.49,5,2.68,8.46,4,0,68.35,Pass,Medium
78,8.84,73,8.53,2,4.36,6.24,2,0,79.64,Pass,High
91,5.94,52,6.38,4,4.16,7.78,3,0,68.55,Pass,Medium
60,3.98,60,6.41,5,5.92,5.06,3,0,55.41,Pass,Medium
64,8.97,94,6.19,2,1.35,6.49,4,0,79.84,Pass,High
63,5.56,53,8.32,1,3.97,6.41,1,1,62.5,Pass,Medium
75,6.12,75,7.7,3,3.66,7.17,3,1,73.81,Pass,High
83,4.87,76,8.19,3,5.49,5.29,4,0,69.8,Pass,Medium
75,6.74,95,8.08,3,0.94,8.16,1,1,81.03,Pass,High
61,3.31,92,7.4,5,4.51,5.87,4,1,66.21,Pass,Medium
87,5.13,76,8.71,2,3.41,7.71,1,1,72.59,Pass,High
91,9.76,91,9.03,5,1.65,8.21,5,1,99.49,Pass,High
86,4.07,100,6.06,4,2.85,7.25,1,1,71.74,Pass,High
79,7.25,99,6.83,1,2.0,7.96,2,1,80.74,Pass,High
83,4.6,55,8.85,1,3.48,7.65,5,0,68.26,Pass,Medium
71,8.19,64,7.55,3,5.33,6.42,4,0,73.71,Pass,High
94,3.05,79,8.65,3,3.42,8.24,5,0,72.9,Pass,High
92,9.76,91,7.39,3,3.79,6.18,5,1,92.58,Pass,High
92,5.63,86,7.56,2,3.11,7.28,4,0,77.23,Pass,High
96,3.89,86,6.63,4,0.31,7.98,4,0,75.08,Pass,High
71,2.59,91,7.03,4,1.4,6.52,2,0,63.95,Pass,Medium
62,3.36,86,8.42,4,2.95,6.21,4,1,68.44,Pass,Medium
60,6.16,84,7.73,4,1.86,6.84,3,0,74.08,Pass,High
92,4.7,72,9.1,3,1.09,8.27,3,1,78.35,Pass,High
99,8.63,55,9.41,1,3.02,8.72,2,0,82.59,Pass,High
69,5.45,53,8.17,3,1.94,7.18,1,0,64.8,Pass,Medium
88,3.99,67,9.03,4,1.55,7.65,1,0,70.37,Pass,High
72,6.94,58,7.23,3,2.78,8.61,3,1,72.61,Pass,High
71,7.65,98,7.66,4,0.8,5.39,4,1,85.7,Pass,High
90,3.34,78,8.85,5,5.57,5.93,2,1,69.69,Pass,Medium
61,3.34,62,7.54,1,5.21,7.84,1,1,55.43,Pass,Medium
94,2.29,96,8.35,5,4.25,8.29,1,1,71.79,Pass,High
82,7.89,66,6.74,2,0.64,8.43,5,0,79.36,Pass,High
76,7.31,94,8.4,3,4.66,6.66,3,0,80.18,Pass,High
85,5.8,81,9.45,2,4.85,5.36,4,1,77.64,Pass,High
67,8.75,97,9.47,3,4.61,6.75,2,1,85.99,Pass,High
88,8.45,71,8.9,5,0.68,5.92,1,0,84.29,Pass,High
85,6.68,53,8.98,4,3.86,6.16,5,1,77.85,Pass,High
69,8.95,54,8.23,4,5.01,8.09,3,0,76.83,Pass,High
85,3.65,86,8.34,3,3.46,5.3,3,1,71.47,Pass,High
93,2.9,90,6.53,4,3.88,8.31,2,0,67.55,Pass,Medium
100,4.16,98,7.78,5,2.75,6.71,1,1,77.76,Pass,High
66,2.46,62,7.8,4,3.17,7.38,2,1,60.22,Pass,Medium
63,6.25,83,9.83,5,0.21,5.36,2,0,78.85,Pass,High
70,9.49,94,7.72,2,3.83,6.35,5,0,85.17,Pass,High
88,2.31,71,8.2,5,0.49,5.36,3,1,67.9,Pass,Medium
95,2.98,72,8.13,1,2.61,8.85,4,1,70.01,Pass,High
84,5.62,100,8.55,1,1.76,8.23,3,0,79.62,Pass,High
80,9.47,52,8.99,1,3.27,6.84,3,1,81.42,Pass,High
95,4.53,91,6.9,3,0.8,5.89,5,0,76.08,Pass,High
69,6.06,83,8.11,3,4.15,8.73,4,0,75.59,Pass,High
96,2.33,81,9.3,3,4.77,6.38,1,1,66.59,Pass,Medium
68,3.19,94,7.85,5,0.98,5.64,4,0,70.09,Pass,High
83,9.89,100,7.11,3,0.63,7.25,1,0,89.17,Pass,High
94,9.72,98,8.62,2,0.87,8.78,4,1,98.0,Pass,High
94,2.04,70,9.3,1,5.26,5.02,2,0,60.27,Pass,Medium
95,9.61,95,6.25,5,3.17,5.95,4,0,91.01,Pass,High
77,7.11,93,9.11,1,2.8,8.75,5,0,83.44,Pass,High
98,8.94,70,9.29,3,0.64,5.68,1,0,85.69,Pass,High
91,5.64,93,7.85,5,3.9,5.45,3,1,79.55,Pass,High
83,6.12,60,9.93,4,5.21,7.28,5,0,77.91,Pass,High
82,5.91,88,9.15,2,4.97,8.45,1,1,76.31,Pass,High
91,7.33,53,9.09,3,3.76,6.91,1,0,75.07,Pass,High
96,3.12,100,8.99,3,0.45,8.98,3,1,80.85,Pass,High
71,2.24,50,6.6,2,0.67,7.72,2,0,53.38,Pass,Medium
72,4.46,77,6.87,2,0.3,5.3,5,1,69.74,Pass,Medium
82,7.64,73,7.86,4,1.54,8.97,3,0,81.18,Pass,High
84,3.61,84,7.06,3,0.81,6.63,3,0,68.76,Pass,Medium
94,7.39,62,7.66,3,1.56,6.15,2,0,77.79,Pass,High
100,9.76,96,9.55,1,2.31,7.23,5,0,96.71,Pass,High
89,2.75,83,9.3,5,5.66,6.22,3,1,71.69,Pass,High
76,7.38,60,8.52,5,3.66,5.35,2,1,76.03,Pass,High
79,5.55,85,9.43,1,5.01,5.01,5,0,74.53,Pass,High
84,8.95,100,9.14,5,4.26,6.8,4,1,94.94,Pass,High
81,3.42,66,7.72,2,0.68,8.35,1,0,64.05,Pass,Medium
72,7.54,84,6.8,5,4.42,7.29,2,0,76.29,Pass,High
78,8.7,67,8.06,5,1.65,9.0,1,1,84.52,Pass,High
95,9.56,89,8.94,1,3.83,6.15,4,1,91.26,Pass,High
71,7.47,71,7.75,4,2.05,6.12,3,1,77.98,Pass,High
100,5.98,73,8.67,5,5.99,5.64,3,0,76.98,Pass,High
78,6.94,68,6.38,5,1.58,5.66,5,0,75.85,Pass,High
71,8.95,86,8.99,4,1.67,6.14,2,1,87.68,Pass,High
68,6.56,88,9.25,1,5.58,8.17,2,0,74.19,Pass,High
66,2.24,70,8.83,4,0.15,8.62,5,1,68.99,Pass,Medium
87,9.45,57,9.87,1,4.18,8.9,1,1,85.47,Pass,High
73,7.52,77,9.31,2,4.35,5.93,3,1,78.83,Pass,High
90,7.41,54,9.61,1,5.02,8.53,3,1,78.7,Pass,High
78,3.73,66,9.73,2,5.85,6.31,2,1,65.53,Pass,Medium
75,7.27,86,9.21,2,5.85,5.45,2,1,77.73,Pass,High
64,5.15,85,8.7,1,0.39,8.48,5,0,75.11,Pass,High
94,7.21,68,6.02,3,4.93,7.54,4,0,74.91,Pass,High
71,2.85,76,7.86,1,3.88,5.66,1,1,58.19,Pass,Medium
84,7.26,83,8.28,5,3.88,6.72,4,1,83.62,Pass,High
80,10.0,60,7.22,5,0.77,6.15,4,1,86.78,Pass,High
95,2.39,94,7.27,3,3.9,7.95,2,0,67.99,Pass,Medium
82,9.82,96,9.84,2,5.89,6.81,2,1,90.46,Pass,High
75,5.26,61,9.57,3,5.47,8.96,2,1,71.34,Pass,High
98,8.97,70,9.4,5,2.63,5.22,4,1,91.67,Pass,High
98,8.26,60,7.62,3,0.24,6.42,1,0,79.95,Pass,High
73,6.54,88,6.05,1,2.17,6.93,2,1,71.06,Pass,High
90,7.91,77,6.32,3,4.96,7.01,3,0,77.99,Pass,High
64,9.03,54,7.25,2,4.21,6.26,1,0,69.98,Pass,Medium
94,5.23,66,6.06,1,2.76,7.92,3,1,70.53,Pass,High
82,4.62,69,6.07,4,0.33,8.5,1,0,67.85,Pass,Medium
88,7.34,90,9.67,5,2.56,8.75,2,0,89.27,Pass,High
70,8.46,95,8.82,5,2.81,8.22,5,0,89.22,Pass,High
77,8.1,61,7.24,3,5.57,8.4,2,1,74.11,Pass,High
71,8.38,55,6.53,1,3.85,7.2,4,0,70.95,Pass,High
68,5.48,66,8.05,4,1.87,8.3,4,1,73.1,Pass,High
69,8.54,100,6.02,1,3.15,6.21,1,1,76.93,Pass,High
76,2.96,68,9.75,5,0.4,6.59,4,1,73.6,Pass,High
97,6.36,75,7.66,1,5.84,6.27,2,0,72.71,Pass,High
66,2.05,97,7.61,4,2.16,6.87,3,1,65.52,Pass,Medium
72,4.6,93,7.56,3,2.87,6.14,2,0,68.19,Pass,Medium
99,4.93,93,6.28,2,2.13,8.85,1,0,73.28,Pass,High
68,5.17,81,8.55,1,4.1,6.25,4,0,68.75,Pass,Medium
86,7.56,55,8.93,2,3.97,5.39,3,0,74.66,Pass,High
61,5.11,85,8.7,5,4.29,7.11,5,1,74.91,Pass,High
64,5.59,87,6.55,3,1.61,5.23,3,1,70.86,Pass,High
88,3.9,60,8.32,3,1.89,5.44,3,0,66.24,Pass,Medium
96,4.99,82,8.28,1,0.75,5.88,2,1,75.78,Pass,High
97,3.82,73,9.47,3,3.93,6.86,5,1,76.12,Pass,High
78,2.59,72,7.52,1,0.24,6.73,1,1,61.63,Pass,Medium
67,6.83,64,7.49,1,3.59,8.2,1,0,67.0,Pass,Medium
60,7.35,76,8.47,2,5.22,7.96,3,1,74.28,Pass,High
81,6.96,60,8.53,3,5.34,6.71,3,0,72.85,Pass,High
76,5.71,100,7.88,1,2.69,6.33,4,1,77.02,Pass,High
66,5.04,99,7.77,2,2.76,6.27,5,0,74.32,Pass,High
84,8.91,66,7.98,4,0.46,8.1,3,0,85.44,Pass,High
63,6.15,100,9.44,2,4.02,5.21,4,0,76.84,Pass,High
95,5.83,63,7.84,2,4.93,5.05,5,1,73.82,Pass,High
65,2.21,76,9.76,1,1.47,8.18,1,0,61.37,Pass,Medium
90,4.73,67,8.02,5,2.53,6.91,4,1,75.97,Pass,High
78,5.04,77,9.8,5,5.03,5.52,5,0,75.9,Pass,High
98,5.19,100,9.33,5,5.26,5.94,4,1,84.61,Pass,High
86,6.64,96,7.45,2,1.46,8.73,3,0,81.19,Pass,High
69,6.27,96,9.45,1,3.3,8.44,2,1,79.99,Pass,High
85,6.86,53,6.44,3,1.15,7.84,1,0,70.05,Pass,High
78,8.12,56,9.7,2,0.61,6.93,3,0,79.71,Pass,High
98,8.5,94,8.53,2,5.47,7.08,3,0,87.27,Pass,High
62,7.74,84,6.22,1,4.92,8.9,5,1,75.03,Pass,High
72,9.64,97,8.58,4,4.56,8.86,4,0,90.92,Pass,High
87,2.15,58,9.9,2,0.29,5.86,1,0,62.56,Pass,Medium
79,3.57,57,6.28,4,5.06,8.24,3,0,60.6,Pass,Medium
87,2.06,94,8.22,4,2.63,5.79,5,0,70.24,Pass,High
67,7.18,66,8.99,5,2.05,5.85,1,1,76.12,Pass,High
100,9.18,66,9.24,1,3.28,7.7,4,0,87.3,Pass,High
98,3.95,98,7.66,4,0.55,6.62,3,0,78.24,Pass,High
60,9.42,82,6.82,1,4.54,8.73,3,1,77.94,Pass,High
62,2.48,81,6.17,5,3.49,5.36,3,1,58.76,Pass,Medium
72,9.48,57,8.32,1,1.12,7.05,1,1,78.92,Pass,High
87,4.81,68,7.81,2,1.13,8.67,1,0,68.87,Pass,Medium
84,2.81,87,9.79,4,1.11,8.62,1,1,74.2,Pass,High
92,5.89,52,6.24,1,0.34,5.63,1,1,66.17,Pass,Medium
97,4.05,54,8.74,3,3.53,6.47,5,1,71.99,Pass,High
65,4.28,62,6.1,1,5.04,7.48,2,0,55.14,Pass,Medium
91,4.46,96,6.69,4,0.1,5.64,5,0,77.89,Pass,High
80,8.42,95,7.81,5,0.29,8.87,3,0,90.37,Pass,High
75,6.31,80,7.82,5,3.44,8.66,5,1,81.88,Pass,High
80,4.49,65,8.74,4,4.92,5.67,4,0,67.83,Pass,Medium
70,6.88,99,9.64,2,1.96,5.48,1,1,81.68,Pass,High
96,7.73,81,8.56,2,2.1,5.34,4,1,85.43,Pass,High
95,4.18,71,9.81,5,3.58,8.64,4,1,80.4,Pass,High
94,5.31,78,9.53,5,1.65,5.77,3,0,81.07,Pass,High
78,2.98,71,8.34,4,0.16,6.67,1,1,65.35,Pass,Medium
79,3.45,92,9.34,2,4.41,6.8,4,1,72.75,Pass,High
77,7.45,52,8.57,5,3.75,7.4,3,0,76.52,Pass,High
100,3.45,59,6.31,2,3.48,5.29,1,1,61.3,Pass,Medium
73,6.2,91,8.96,5,4.45,5.91,2,1,78.33,Pass,High
74,7.67,70,6.38,1,4.05,8.73,3,1,73.88,Pass,High
90,2.86,65,8.38,3,1.24,8.63,5,0,69.96,Pass,Medium
60,6.54,61,8.81,1,2.11,8.13,1,1,69.66,Pass,Medium
62,4.05,51,6.27,5,0.76,5.08,4,0,60.03,Pass,Medium
75,9.7,90,6.92,3,0.78,6.31,4,0,87.68,Pass,High
82,5.87,73,9.66,3,4.06,7.51,5,1,79.69,Pass,High
70,8.45,84,8.47,5,5.15,6.1,5,1,85.42,Pass,High
71,6.4,79,6.99,5,5.78,8.64,4,1,75.84,Pass,High
69,2.35,79,8.76,2,3.77,7.54,1,1,61.37,Pass,Medium
91,7.07,96,8.39,5,1.1,5.29,3,0,86.44,Pass,High
75,9.61,84,8.01,4,0.63,8.64,5,0,91.75,Pass,High
67,6.81,68,9.9,5,4.88,8.83,5,1,81.41,Pass,High
97,8.55,99,8.73,4,3.47,5.31,5,0,93.15,Pass,High
71,9.07,57,7.5,5,3.71,7.13,2,1,79.52,Pass,High
83,3.82,75,9.2,2,4.69,6.21,1,1,66.71,Pass,Medium
87,3.7,98,9.54,4,4.22,6.57,1,1,76.09,Pass,High
67,6.89,89,6.5,1,5.01,5.72,1,1,68.49,Pass,Medium
87,5.29,56,6.8,4,0.34,7.31,1,0,68.75,Pass,Medium
95,8.72,79,6.86,2,4.49,8.83,1,0,81.6,Pass,High
85,9.2,56,8.76,4,5.11,7.01,4,1,84.21,Pass,High
67,4.83,52,8.41,5,1.72,5.33,5,1,68.91,Pass,Medium
87,3.89,50,8.48,5,3.84,7.48,4,0,67.47,Pass,Medium
87,8.24,85,9.76,2,1.88,6.36,2,0,86.2,Pass,High
96,4.2,74,9.1,3,5.75,8.42,3,0,73.79,Pass,High
100,8.58,86,6.51,5,0.2,6.74,5,1,91.52,Pass,High
95,5.39,50,7.39,1,3.48,5.77,2,0,64.72,Pass,Medium
86,7.34,64,7.74,2,1.0,5.76,4,1,78.53,Pass,High
76,2.76,86,7.58,4,4.27,8.08,3,1,66.98,Pass,Medium
68,6.99,62,8.68,4,1.06,6.06,2,0,74.04,Pass,High
92,5.61,89,9.57,1,1.41,8.07,3,1,82.4,Pass,High
79,6.69,57,7.22,5,2.97,5.82,2,0,71.49,Pass,High
72,3.34,54,8.21,2,5.49,6.29,4,1,60.42,Pass,Medium
87,7.89,58,9.16,1,1.27,6.86,3,1,80.74,Pass,High
88,8.9,50,7.66,5,0.87,8.77,2,1,84.0,Pass,High
72,3.73,85,6.67,2,4.55,8.73,4,1,66.33,Pass,Medium
94,2.77,84,7.9,4,3.0,5.83,5,1,72.36,Pass,High
65,2.19,51,6.22,2,5.47,6.43,4,1,51.35,Pass,Medium
77,7.14,89,9.77,3,0.88,5.6,4,0,84.63,Pass,High
64,6.86,72,6.3,2,3.88,7.04,5,0,69.32,Pass,Medium
84,6.37,58,7.75,3,1.4,6.84,4,1,75.41,Pass,High
61,3.86,83,8.12,2,0.94,8.6,5,0,69.73,Pass,Medium
69,5.13,95,9.94,3,4.1,8.72,5,1,80.67,Pass,High
89,6.76,63,6.66,4,3.56,6.53,5,0,75.21,Pass,High
64,5.97,53,6.46,5,4.53,6.97,2,0,63.3,Pass,Medium
92,9.9,79,6.03,3,1.86,8.58,3,1,88.2,Pass,High
60,3.09,80,6.62,3,2.69,8.23,2,0,58.79,Pass,Medium
77,7.56,87,6.83,4,2.43,5.01,5,1,81.04,Pass,High
91,5.23,60,8.52,3,5.9,6.28,3,0,68.8,Pass,Medium
70,5.43,84,6.88,1,1.75,6.69,3,1,69.92,Pass,Medium
80,7.74,57,6.08,4,1.77,5.92,5,0,74.92,Pass,High
85,7.54,52,9.31,1,2.13,5.8,3,1,77.3,Pass,High
84,9.93,63,7.46,4,3.39,5.15,3,0,81.82,Pass,High
81,3.03,62,7.41,3,1.51,7.57,2,1,63.89,Pass,Medium
86,2.83,94,7.21,1,5.49,6.05,3,0,63.15,Pass,Medium
72,7.79,81,9.9,3,1.59,5.21,5,1,85.11,Pass,High
92,6.63,83,6.68,4,5.37,5.92,1,0,73.66,Pass,High
93,4.19,94,9.59,3,0.62,8.21,1,1,81.01,Pass,High
100,2.64,68,9.11,1,3.94,8.41,1,0,65.51,Pass,Medium
94,2.69,87,6.31,1,5.44,6.93,5,1,65.45,Pass,Medium
60,9.15,65,9.95,3,1.01,6.66,1,1,82.66,Pass,High
80,3.53,51,7.09,2,5.81,8.91,2,1,58.9,Pass,Medium
65,4.59,89,6.39,4,2.72,5.8,5,1,70.65,Pass,High
87,3.81,66,9.32,4,5.67,5.86,5,0,68.98,Pass,Medium
76,4.84,83,8.83,3,4.06,6.17,5,0,72.93,Pass,High
64,2.56,91,8.47,2,1.81,5.69,3,0,63.88,Pass,Medium
90,6.15,65,6.62,1,1.13,6.52,3,1,73.02,Pass,High
64,2.54,87,7.91,5,1.82,8.64,3,1,68.48,Pass,Medium
97,8.4,51,9.12,5,0.56,7.46,4,1,88.48,Pass,High
62,3.87,51,7.21,3,0.86,6.65,2,1,59.05,Pass,Medium
82,6.32,75,7.25,2,0.63,8.74,5,1,79.28,Pass,High
96,9.04,62,6.01,2,2.54,5.19,5,0,80.35,Pass,High
96,7.21,96,6.7,4,4.77,5.84,3,0,81.04,Pass,High
69,6.26,80,9.5,1,0.85,7.26,5,0,78.93,Pass,High
69,4.59,83,7.77,2,0.78,7.46,5,1,73.55,Pass,High
78,4.66,88,9.94,5,3.86,5.16,1,1,76.4,Pass,High
76,7.36,52,7.58,1,1.18,6.61,5,1,74.51,Pass,High
80,9.95,57,8.86,1,0.59,7.6,4,1,86.71,Pass,High
73,7.29,72,7.13,3,1.0,7.79,3,1,78.28,Pass,High
68,6.46,63,7.46,2,5.54,7.55,2,1,67.04,Pass,Medium
60,7.85,76,6.76,3,4.93,6.28,2,1,71.55,Pass,High
72,5.72,78,7.39,2,2.12,5.37,1,0,66.54,Pass,Medium
63,2.48,88,8.19,4,3.93,6.71,2,0,61.47,Pass,Medium
60,6.5,88,9.97,3,3.22,5.52,2,1,78.21,Pass,High
99,9.66,50,8.66,3,4.06,8.79,3,1,87.49,Pass,High
91,3.4,66,6.8,5,4.1,6.9,3,1,66.12,Pass,Medium
93,7.52,90,6.18,3,3.77,6.27,4,0,80.99,Pass,High
87,3.61,79,6.51,2,1.6,8.07,1,0,64.53,Pass,Medium
90,6.29,62,8.25,5,0.23,6.99,2,1,79.65,Pass,High
67,2.77,70,9.06,3,2.73,6.24,4,0,63.78,Pass,Medium
98,5.6,68,9.76,3,5.35,8.25,1,0,76.54,Pass,High
85,8.05,68,6.06,4,3.42,8.47,2,0,76.39,Pass,High
93,4.78,74,8.09,3,4.99,7.69,2,1,72.08,Pass,High
62,7.32,71,7.88,1,5.95,5.19,3,0,66.41,Pass,Medium
71,8.36,80,8.62,5,0.98,7.27,5,0,87.19,Pass,High
60,9.42,66,8.24,1,4.15,8.05,1,1,76.72,Pass,High
64,3.88,72,8.75,5,4.05,5.55,2,1,66.38,Pass,Medium
89,5.19,81,8.63,4,5.88,5.91,1,0,72.5,Pass,High
89,3.22,59,6.47,3,5.91,8.53,4,1,62.8,Pass,Medium
76,9.94,59,9.2,3,4.12,5.08,4,0,83.19,Pass,High
82,9.42,85,6.49,3,1.46,8.01,5,0,87.58,Pass,High
74,6.32,57,8.79,5,4.79,6.9,2,1,73.18,Pass,High
96,8.74,69,7.66,3,0.64,6.79,3,1,86.18,Pass,High
80,6.17,81,8.06,1,4.68,5.03,2,0,69.37,Pass,Medium
73,6.99,99,9.61,3,5.46,8.28,1,1,81.79,Pass,High
61,2.71,63,9.56,4,2.3,6.44,4,1,64.77,Pass,Medium
70,8.04,99,9.27,1,3.78,7.16,1,0,80.35,Pass,High
98,3.02,77,8.04,3,2.58,7.71,5,0,71.68,Pass,High
97,8.61,95,8.94,3,2.63,7.81,4,0,92.7,Pass,High
93,8.26,73,8.05,2,1.86,8.82,3,0,84.68,Pass,High
97,7.67,64,9.48,5,4.57,7.13,4,0,85.41,Pass,High
93,2.29,71,7.61,1,5.62,6.6,2,0,58.66,Pass,Medium
77,4.43,79,9.88,2,5.64,8.81,2,1,72.34,Pass,High
89,4.1,53,9.73,4,1.05,7.57,4,1,74.8,Pass,High
74,4.88,62,8.97,5,5.25,6.19,5,0,70.3,Pass,High
86,2.7,72,7.12,1,4.42,5.51,2,1,58.98,Pass,Medium
93,9.5,57,6.53,3,1.52,8.37,2,1,83.95,Pass,High
97,6.43,67,9.42,1,0.4,6.45,3,0,78.22,Pass,High
92,4.44,61,6.66,3,1.61,7.64,4,1,69.91,Pass,Medium
83,5.18,80,9.42,5,5.47,6.88,2,1,76.42,Pass,High
74,5.58,63,7.96,3,3.8,5.8,5,0,69.84,Pass,Medium
89,6.8,83,7.63,4,4.33,7.41,1,1,79.44,Pass,High
76,6.13,67,9.61,3,1.54,5.24,4,1,78.41,Pass,High
64,9.36,83,8.42,4,4.32,6.65,3,0,83.0,Pass,High
88,5.98,60,8.31,5,0.17,7.19,2,1,77.89,Pass,High
63,9.94,90,8.24,5,2.25,6.74,5,1,91.93,Pass,High
69,8.81,61,7.48,1,3.76,7.99,4,1,76.81,Pass,High
76,3.67,98,9.14,4,0.88,8.31,5,0,78.07,Pass,High
69,9.44,64,7.01,4,4.94,8.08,5,0,80.27,Pass,High
76,2.93,80,9.76,2,1.41,5.16,3,1,69.19,Pass,Medium
79,8.54,98,9.58,2,3.91,5.78,4,1,88.95,Pass,High
83,5.04,78,7.35,2,2.43,7.15,2,0,69.78,Pass,Medium
64,9.02,75,8.92,3,3.58,8.74,3,0,81.64,Pass,High
93,8.94,67,8.29,2,0.64,8.34,2,1,86.7,Pass,High
65,8.45,81,7.35,4,0.1,8.37,1,0,80.24,Pass,High
61,8.32,71,9.95,3,5.46,6.21,5,1,80.7,Pass,High
72,4.44,87,6.1,5,1.62,6.72,1,1,68.97,Pass,Medium
70,2.65,66,7.01,1,4.92,6.88,5,0,57.56,Pass,Medium
82,5.22,72,8.08,2,6.0,5.63,3,0,67.85,Pass,Medium
75,3.39,73,8.09,5,1.27,5.12,2,1,67.86,Pass,Medium
90,7.56,99,8.36,4,1.59,8.79,2,1,90.44,Pass,High
70,4.77,57,9.01,1,3.98,5.96,3,0,63.53,Pass,Medium
75,9.8,90,8.49,5,5.79,5.96,4,1,89.13,Pass,High
67,7.13,55,8.4,1,5.49,5.33,1,0,64.4,Pass,Medium
63,8.58,54,6.21,2,3.02,8.71,1,0,69.09,Pass,Medium
99,3.06,93,7.51,4,4.77,7.32,2,0,70.77,Pass,High
63,8.9,78,6.93,1,0.81,7.67,2,0,77.52,Pass,High
84,9.38,77,7.06,5,5.86,8.65,2,0,83.04,Pass,High
62,5.9,60,8.22,2,5.79,6.38,3,1,65.78,Pass,Medium
91,6.85,50,6.8,2,0.98,7.49,4,0,72.69,Pass,High
62,8.12,92,7.18,5,1.8,5.16,1,0,77.92,Pass,High
86,3.4,68,6.95,5,0.6,5.75,5,0,68.72,Pass,Medium
88,6.02,58,9.79,1,1.63,8.32,3,0,76.3,Pass,High
91,5.19,76,9.78,3,4.9,8.07,1,0,75.28,Pass,High
78,3.17,83,8.44,2,2.27,6.4,4,0,67.75,Pass,Medium
80,4.94,93,9.7,1,0.53,6.51,3,0,76.22,Pass,High
64,2.55,53,9.14,5,2.05,7.13,1,1,60.86,Pass,Medium
77,2.21,85,8.36,1,5.89,5.0,3,1,60.44,Pass,Medium
87,3.08,67,6.03,5,3.78,5.96,1,1,61.93,Pass,Medium
81,9.7,64,9.09,4,2.5,5.83,1,1,85.87,Pass,High
80,6.4,100,8.81,5,1.0,6.0,4,0,85.09,Pass,High
65,9.73,62,8.46,5,5.92,8.22,5,1,85.02,Pass,High
60,5.46,68,9.04,5,4.93,6.12,4,0,70.26,Pass,High
64,4.49,98,8.05,3,1.69,5.77,1,1,70.81,Pass,High
